Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.7917555081734187,0.6310679611650486,0.5213903743315508,0.5710102489019033,0.8298075280451
XGBoost,0.7938877043354655,0.6438356164383562,0.5026737967914439,0.5645645645645646,0.8400031578238968
